CASEID	v3	v1	v2	v4	v5	v6	v7	v8	v9	v10	v11	v12	v13	v14	v15	v16	v17	v17_jp	v18	v19	v20	v21	v22	v23	v24	v25	v26	v27	v28	v29	v30	v31	v32	v33	v34	v35	v36	v37	v38	v39	v40	v41	v42	v43	v44	v45	v46	v47	v48	v49	v50	v51	v52	v53	v54	v55	v56	v57	v58	v59	v60	v61	v62	v63	v64	v65	v66	v67	v68	v69	v70	v71	v72	v73	v74	v75	v76	v77	v78	v79	v80	v81	v82	v83	v84	v84_tw1	v84_tw2	v84_tw3	v85	v86	v87	v88	v89	v90	v91	v92	v93	v94	v95	v96	v97	v98	v99	v100	v101	v102	v103	v104	v105	v106	v107	s1_cjt	s2_cjt	cn_frcap	jp_frcap	tw_frcap	sex	age	marital	relig	topbot	urbrural	cn_reg	jp_reg	kr_reg	tw_reg	happy	happy_kr	educyrs	degree	inschl	wrkst	fullpart	wrkhrs	empcntrt	wrktype	whynowrk	isco88	cn_rinc	jp_rinc	kr_rinc	tw_rinc	cn_rincx	jp_rincx	kr_rincx	tw_rincx	hhdnum	cn_hinc	jp_hinc	kr_hinc	tw_hinc	rltvhinc	weight	spage	spedyrs	spdegr	spinschl	spwrkst	spfullpt	spwrkhrs	spempcnt	spwktype	spnowrk	spisco88	cn_spinc	jp_spinc	kr_spinc	tw_spinc	cn_sincx	jp_sincx	kr_sincx	tw_sincx	paedyrs	padegr	maedyrs	madegr
2735	5455	2008	1	3	1	3	 	2	1	1	3	4	4	4	1	1	2	 	2	2	2	5	2	2	2	2	1	2	2	4	3	3	4	2	2	4	 	 	 	 	 	5	2	2	1	1	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	1	 	1	1	2	2	2	1	 	1	1	2	2	1	1	 	1	1	1	2	2	 	 	 	5	2	6	1	1	5	2	4	2	3	2	1	2	2	2	1	2	2	1	1	4	4	5	2	2	 	 	 	2	24	1	1	6	1	21	 	 	 	2	 	11	2	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	5	27200	 	 	 	2	.443215936422348	26	8	2	0	5	 	 	 	 	4	 	 	 	 	 	 	 	 	 	5	1	11	3
2736	5456	2008	1	4	2	2	 	2	2	1	1	4	2	2	1	1	2	 	1	3	3	6	2	3	7	1	1	2	1	3	2	4	2	2	4	5	 	 	 	 	 	6	1	2	1	1	1	2	 	2	2	2	1	2	2	 	2	2	2	1	2	2	2	1	1	 	1	1	1	2	1	2	 	1	2	2	2	1	1	 	2	2	2	3	2	 	 	 	2	1	4	1	1	6	3	5	7	1	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	7	 	 	1	28	5	1	3	1	21	 	 	 	3	 	11	3	0	1	1	56	1	3	 	1210	12000	 	 	 	0	 	 	 	1	12000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	10	3	5	1
2737	5457	2008	1	3	1	1	2	3	1	2	2	4	1	2	2	2	2	 	1	3	3	2	1	2	6	3	2	1	1	3	4	2	3	2	1	4	 	 	 	 	 	3	2	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	1	2	2	2	1	1	 	2	2	2	2	1	1	 	2	2	2	4	2	 	 	 	5	1	6	2	2	6	3	4	3	2	2	2	2	1	1	1	2	1	1	1	5	5	5	2	2	 	 	 	2	40	1	1	3	1	21	 	 	 	4	 	8	2	0	5	 	 	 	 	4	 	 	 	 	 	20000	 	 	 	4	30000	 	 	 	2	.738693237304688	40	11	3	0	3	1	70	 	 	 	9333	10000	 	 	 	 	 	 	 	8	2	8	2
2738	5458	2008	1	3	2	2	2	2	2	2	2	3	3	3	2	2	3	 	2	2	1	3	2	3	6	2	2	2	2	4	2	2	3	1	2	5	 	 	 	 	 	3	1	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	1	1	2	2	2	2	 	1	1	2	2	2	2	 	1	1	2	4	2	 	 	 	6	2	6	2	2	5	2	3	7	2	1	1	1	1	1	1	1	1	1	1	5	5	5	2	2	 	 	 	1	38	1	1	4	1	21	 	 	 	2	 	10	2	0	3	1	80	 	 	 	9110	10000	 	 	 	0	 	 	 	3	20000	 	 	 	2	1.10803985595703	28	8	2	0	4	1	80	 	 	 	9110	10000	 	 	 	 	 	 	 	10	3	10	3
2739	5459	2008	1	2	1	1	 	2	1	1	2	2	3	3	1	1	2	 	1	3	2	6	2	3	6	1	1	1	1	3	3	1	4	1	4	4	 	 	 	 	 	2	1	2	1	1	1	2	 	2	2	2	2	2	2	 	1	2	2	1	1	1	2	1	1	 	1	1	2	2	1	1	 	1	1	2	2	1	2	 	1	1	2	4	3	 	 	 	7	2	6	2	1	6	3	5	5	2	1	2	1	1	1	1	2	1	1	1	3	3	3	2	2	 	 	 	1	18	5	1	6	1	21	 	 	 	1	 	12	3	1	5	 	 	 	 	2	 	 	 	 	 	0	 	 	 	2	8000	 	 	 	3	1.10803985595703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	2	8	2
2740	5460	2008	1	3	1	2	 	2	1	1	2	2	4	4	2	1	5	 	2	3	1	6	2	3	6	2	2	1	1	4	2	2	2	1	4	5	 	 	 	 	 	3	2	2	1	2	1	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	2	 	1	1	1	2	1	2	 	1	1	1	2	1	2	 	1	1	1	5	4	 	 	 	6	2	6	1	1	5	3	3	7	1	1	1	1	1	1	1	1	1	1	1	3	4	4	2	2	3	 	 	2	19	5	1	3	1	21	 	 	 	2	 	13	3	0	1	1	56	2	 	 	5220	 	 	 	 	600	 	 	 	1	6000	 	 	 	3	2.21607971191406	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	8	2	5	1
2741	5471	2008	1	4	3	2	2	1	1	1	2	2	2	2	2	2	3	 	3	2	3	2	2	3	3	2	2	2	2	4	3	3	3	3	1	5	 	 	 	 	 	5	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	1	 	2	2	2	2	1	1	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	3	4	4	3	3	3	3	3	1	1	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	2	60	1	7	4	4	21	 	 	 	2	 	0	0	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	5	8000	 	 	 	2	.443215936422348	63	0	0	0	3	1	58	 	 	 	6210	8000	 	 	 	 	 	 	 	0	0	0	0
2742	5472	2008	1	4	4	1	2	2	1	2	3	3	4	2	3	2	6	 	2	2	2	6	6	5	5	3	3	1	2	4	4	3	3	2	3	4	 	 	 	 	 	5	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	2	 	2	2	2	2	1	1	 	2	2	2	2	2	2	 	2	2	2	4	4	 	 	 	2	2	2	3	2	5	2	4	3	2	1	2	1	1	1	2	2	1	2	1	5	5	5	2	2	 	 	 	2	55	1	1	5	4	21	 	 	 	2	 	10	3	0	3	2	10	 	 	 	6210	2000	 	 	 	0	 	 	 	2	10000	 	 	 	3	1.10803985595703	56	8	2	0	5	 	 	 	 	1	 	 	 	 	 	 	 	 	 	5	1	0	0
2743	5473	2008	1	4	3	3	1	1	1	1	1	1	2	2	1	2	2	 	2	2	3	2	2	3	4	3	2	1	1	4	3	3	3	3	1	5	 	 	 	 	 	7	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	2	 	 	 	4	4	4	3	3	3	1	4	2	2	2	2	2	2	2	2	2	2	1	1	5	5	5	2	2	 	 	 	1	53	1	1	5	4	21	 	 	 	3	 	0	0	0	3	1	82	 	 	 	7430	15000	 	 	 	0	 	 	 	3	20000	 	 	 	3	.738693237304688	50	11	3	0	4	1	82	 	 	 	7430	5000	 	 	 	 	 	 	 	0	0	0	0
2744	5474	2008	1	4	4	4	2	2	2	2	1	2	3	2	2	3	3	 	2	2	3	2	3	2	2	3	2	1	2	2	2	3	2	2	1	4	 	 	 	 	 	7	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	2	1	 	2	2	2	1	2	1	 	2	2	2	1	2	1	 	2	2	2	2	2	 	 	 	2	3	2	2	1	2	4	3	2	2	2	2	1	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	1	75	1	1	6	4	21	 	 	 	2	 	10	3	0	3	1	40	 	 	 	6210	2000	 	 	 	0	 	 	 	2	8000	 	 	 	2	1.10803985595703	59	8	2	0	3	1	58	 	 	 	6210	6000	 	 	 	 	 	 	 	0	0	0	0
2745	5475	2008	1	4	3	3	2	2	1	1	2	2	2	1	1	1	3	 	3	2	3	3	2	3	2	2	3	2	2	4	3	3	3	3	1	5	 	 	 	 	 	6	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	4	5	5	4	4	4	1	2	1	1	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	2	62	1	1	6	4	21	 	 	 	1	 	4	1	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	5	20000	 	 	 	3	.443215936422348	69	11	3	0	5	 	 	 	 	3	 	 	 	 	 	 	 	 	 	0	0	0	0
2746	5476	2008	1	1	2	2	2	2	2	2	3	2	1	2	2	3	3	 	2	2	3	2	2	3	2	2	3	1	2	2	2	1	2	2	3	4	 	 	 	 	 	6	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	2	 	2	2	2	2	1	2	 	2	2	2	2	1	2	 	2	2	2	5	5	 	 	 	3	2	2	3	3	3	3	4	2	2	2	2	1	2	2	2	2	2	1	1	2	2	2	2	2	 	 	 	1	25	5	1	6	4	21	 	 	 	2	 	12	3	0	3	1	48	 	 	 	6210	3000	 	 	 	0	 	 	 	4	17000	 	 	 	3	.554019927978516	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	11	3	8	2
2747	5477	2008	1	4	3	3	2	1	1	1	1	1	1	1	1	2	2	 	2	2	2	3	3	2	6	4	4	1	1	4	3	3	3	3	3	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	3	 	 	 	3	4	4	4	4	4	2	3	2	2	2	2	1	2	1	1	2	2	2	2	5	5	5	2	2	 	 	 	2	30	1	1	5	4	21	 	 	 	2	 	12	3	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	4	1000	 	 	 	2	.554019927978516	33	8	2	0	3	1	56	 	 	 	5169	1000	 	 	 	 	 	 	 	11	3	8	2
2748	5478	2008	1	4	3	3	1	1	1	1	2	2	2	2	1	1	4	 	2	2	4	4	4	4	3	4	4	1	1	4	3	3	3	3	2	5	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	4	4	4	4	4	4	2	2	2	2	2	2	1	1	2	1	2	1	2	1	5	5	5	2	2	 	 	 	2	44	1	1	6	4	21	 	 	 	2	 	8	2	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	3	8000	 	 	 	3	1.10803985595703	44	11	3	0	4	1	84	 	 	 	9110	8000	 	 	 	 	 	 	 	0	0	0	0
2749	5479	2008	1	4	3	3	2	2	1	1	1	1	2	2	2	2	2	 	1	2	3	3	4	4	3	3	4	2	2	3	4	4	4	4	4	5	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	4	4	4	4	4	4	2	3	1	1	2	2	2	2	2	2	2	2	1	2	5	4	5	2	2	 	 	 	2	38	1	1	6	4	21	 	 	 	1	 	9	2	0	3	1	40	 	 	 	6210	0	 	 	 	0	 	 	 	6	30000	 	 	 	2	.554019927978516	45	8	2	0	3	2	14	 	 	 	5149	30000	 	 	 	 	 	 	 	0	0	8	2
2750	5480	2008	1	2	4	2	2	2	2	1	3	3	2	2	1	2	2	 	3	2	3	3	2	2	2	1	3	1	2	2	2	1	2	2	3	4	 	 	 	 	 	7	1	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	1	2	 	2	2	2	2	1	2	 	2	1	2	2	2	2	 	2	2	2	5	5	 	 	 	2	3	3	3	3	2	1	2	2	3	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	2	35	1	1	5	4	21	 	 	 	2	 	8	2	0	3	1	40	 	 	 	6210	500	 	 	 	0	 	 	 	4	8000	 	 	 	3	1.10803985595703	35	5	1	0	3	1	58	 	 	 	6210	7500	 	 	 	 	 	 	 	8	2	8	2
2751	5491	2008	1	4	3	3	2	2	1	1	2	3	3	3	1	1	2	 	2	4	4	4	4	4	3	4	4	1	1	4	3	3	3	3	2	4	 	 	 	 	 	7	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	3	3	 	 	 	4	4	4	4	6	6	1	3	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	1	57	1	1	2	4	21	 	 	 	2	 	8	2	0	3	1	70	 	 	 	6210	1500	 	 	 	0	 	 	 	2	2000	 	 	 	2	1.10803985595703	50	5	1	0	3	1	58	 	 	 	6210	500	 	 	 	 	 	 	 	0	0	0	0
2752	5492	2008	1	3	4	2	2	4	2	2	2	3	2	2	2	2	2	 	2	4	4	2	3	2	3	2	3	1	1	4	3	2	3	2	3	4	 	 	 	 	 	1	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	1	 	2	2	2	2	2	1	 	2	2	2	2	2	1	 	2	2	2	3	3	 	 	 	5	4	6	2	2	4	2	3	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	1	36	5	1	6	4	21	 	 	 	2	 	9	2	0	3	1	48	 	 	 	6210	8000	 	 	 	0	 	 	 	3	9000	 	 	 	2	.738693237304688	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0
2753	5493	2008	1	4	4	4	2	1	2	1	2	2	1	1	2	1	2	 	2	2	2	1	2	2	2	2	1	1	2	4	4	4	4	2	1	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	2	 	 	 	3	4	3	2	3	2	1	4	2	2	2	2	2	2	2	2	2	2	1	1	5	5	5	2	2	 	 	 	2	34	1	1	2	4	21	 	 	 	4	 	0	0	0	3	1	50	 	 	 	6210	1000	 	 	 	0	 	 	 	4	3000	 	 	 	2	1.10803985595703	42	5	1	0	3	1	58	 	 	 	6210	2000	 	 	 	 	 	 	 	5	1	3	0
2754	5494	2008	1	4	3	3	2	2	1	1	1	2	2	1	1	2	2	 	2	2	4	4	3	2	2	2	3	1	1	4	5	5	5	2	1	5	 	 	 	 	 	5	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	3	 	 	 	4	5	4	4	4	4	1	5	1	1	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	2	52	1	1	6	4	21	 	 	 	2	 	5	1	0	3	1	58	 	 	 	6210	1000	 	 	 	0	 	 	 	2	1000	 	 	 	2	1.10803985595703	54	5	1	0	3	1	58	 	 	 	6210	 	 	 	 	 	 	 	 	0	0	0	0
2755	5495	2008	1	4	3	3	2	2	1	1	2	3	3	3	1	1	3	 	4	4	4	4	4	4	2	2	4	1	1	4	2	3	3	2	2	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	4	 	 	 	4	4	4	4	4	4	1	4	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	2	55	1	1	4	4	21	 	 	 	3	 	0	0	0	3	1	70	 	 	 	6210	800	 	 	 	0	 	 	 	2	1000	 	 	 	2	1.10803985595703	71	8	2	0	3	1	58	 	 	 	6210	200	 	 	 	 	 	 	 	0	0	0	0
2756	5496	2008	1	4	3	3	2	2	1	1	1	1	1	1	1	1	2	 	2	3	2	4	3	2	2	3	3	2	2	4	5	5	5	5	4	5	 	 	 	 	 	5	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	2	 	 	 	5	5	5	2	2	2	1	5	2	1	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	1	47	1	1	1	4	21	 	 	 	2	 	5	1	0	3	1	60	 	 	 	6210	1500	 	 	 	0	 	 	 	4	4500	 	 	 	1	1.10803985595703	39	5	1	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	0	0	0	0
2757	5497	2008	1	3	3	3	2	2	1	1	2	2	3	3	2	2	3	 	1	4	4	4	3	4	4	4	4	1	1	4	3	3	3	3	2	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	1	 	2	2	2	4	4	 	 	 	3	2	4	3	6	6	1	3	3	3	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	1	40	1	1	3	4	21	 	 	 	4	 	4	1	0	3	1	70	 	 	 	6210	5000	 	 	 	0	 	 	 	4	8000	 	 	 	3	1.10803985595703	38	5	1	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	0	0	0	0
2758	5498	2008	1	4	4	3	2	2	1	1	1	1	1	1	1	1	2	 	2	3	2	2	1	2	4	2	2	2	2	4	5	5	5	4	4	5	 	 	 	 	 	5	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	3	 	 	 	5	5	4	4	3	5	1	3	1	1	2	2	2	2	2	2	2	1	2	2	5	5	5	2	2	 	 	 	1	45	1	1	5	4	21	 	 	 	2	 	5	1	0	3	1	56	 	 	 	6210	3000	 	 	 	0	 	 	 	4	5000	 	 	 	2	1.10803985595703	39	8	2	0	3	1	58	 	 	 	6210	2000	 	 	 	 	 	 	 	0	0	0	0
2759	5499	2008	1	3	3	2	2	2	3	3	2	3	2	3	2	3	2	 	2	2	3	2	3	2	3	3	2	2	1	2	2	3	2	3	2	4	 	 	 	 	 	7	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	1	1	 	2	2	2	2	1	1	 	1	2	2	2	3	 	 	 	2	3	2	2	2	3	1	2	1	1	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	2	32	1	1	6	4	21	 	 	 	2	 	4	1	0	3	1	70	 	 	 	6210	400	 	 	 	0	 	 	 	2	5000	 	 	 	2	2.21607971191406	38	5	1	0	3	1	58	 	 	 	6210	4600	 	 	 	 	 	 	 	0	0	0	0
2760	5500	2008	1	4	4	4	2	2	2	1	1	3	2	1	1	1	2	 	2	2	3	2	3	3	2	2	6	1	2	4	5	5	5	4	1	5	 	 	 	 	 	7	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	2	1	4	2	3	2	1	3	1	2	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	1	70	2	1	1	4	21	 	 	 	4	 	0	0	0	3	1	50	 	 	 	6210	1000	 	 	 	0	 	 	 	2	 	 	 	 	2	1.10803985595703	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0
2761	5511	2008	1	4	3	1	2	2	2	2	3	2	2	2	3	2	2	 	2	3	2	5	2	2	3	2	3	2	2	4	4	2	3	2	2	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	1	 	1	2	2	2	2	1	 	1	2	2	2	1	1	 	1	2	2	2	4	 	 	 	2	2	5	2	2	4	1	4	2	1	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	2	40	1	3	6	4	21	 	 	 	2	 	5	1	0	3	1	56	 	 	 	6210	2000	 	 	 	0	 	 	 	4	5000	 	 	 	2	.738693237304688	41	5	1	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	5	1	0	0
2762	5512	2008	1	4	2	1	2	2	1	1	1	1	1	2	2	2	2	 	2	2	2	2	2	3	3	3	3	1	1	4	5	2	5	1	1	5	 	 	 	 	 	4	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	2	 	 	 	2	2	3	3	3	3	1	5	1	1	2	2	1	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	2	34	1	1	1	4	21	 	 	 	2	 	9	2	0	3	1	63	 	 	 	6210	 	 	 	 	0	 	 	 	6	3000	 	 	 	2	.554019927978516	35	8	2	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	5	1	5	1
2763	5513	2008	1	4	4	4	2	2	1	1	1	1	2	1	1	1	1	 	2	2	3	2	2	2	3	2	2	1	1	4	4	4	4	2	1	5	 	 	 	 	 	6	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	4	3	 	 	 	2	3	2	3	3	3	1	3	1	1	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	2	41	1	1	1	4	21	 	 	 	2	 	2	1	0	3	1	49	 	 	 	6210	2000	 	 	 	0	 	 	 	3	5000	 	 	 	2	2.21607971191406	41	8	2	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	8	2	0	0
2764	5514	2008	1	4	4	4	1	1	2	1	2	2	2	1	2	2	2	 	2	2	1	2	2	2	3	2	2	1	1	4	5	5	5	5	5	5	 	 	 	 	 	3	2	1	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	3	 	 	 	3	1	3	2	3	2	1	5	1	1	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	1	65	2	1	5	4	21	 	 	 	4	 	8	2	0	5	 	 	 	 	5	 	 	 	 	 	0	 	 	 	3	 	 	 	 	2	.738693237304688	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	 	0	0	0	0
2765	5515	2008	1	4	4	4	2	3	1	1	2	2	2	3	2	2	2	 	2	3	4	2	2	2	3	4	4	2	1	4	3	3	3	3	2	4	 	 	 	 	 	7	1	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	1	1	1	 	1	1	1	1	1	1	 	1	1	1	1	1	1	 	1	1	1	2	3	 	 	 	3	2	4	3	6	6	2	2	3	3	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	1	35	1	1	4	4	21	 	 	 	4	 	6	1	0	3	1	49	 	 	 	6210	1300	 	 	 	0	 	 	 	4	4300	 	 	 	2	1.10803985595703	33	0	0	0	3	1	58	 	 	 	6210	3000	 	 	 	 	 	 	 	0	0	0	0
2766	5516	2008	1	4	4	4	2	2	1	2	1	2	2	1	1	1	2	 	2	2	2	1	2	1	2	2	2	1	1	3	5	4	4	3	4	4	 	 	 	 	 	5	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	1	2	 	2	2	2	3	2	 	 	 	5	4	4	2	3	2	1	4	2	2	2	2	2	2	1	2	2	2	2	1	5	5	5	2	2	 	 	 	1	49	1	1	6	4	21	 	 	 	3	 	8	2	0	3	1	70	 	 	 	6210	4000	 	 	 	0	 	 	 	3	6000	 	 	 	3	1.10803985595703	48	8	2	0	3	1	58	 	 	 	6210	2000	 	 	 	 	 	 	 	0	0	0	0
2767	5517	2008	1	3	3	3	2	2	1	1	1	1	2	1	1	1	2	 	2	3	4	4	4	3	3	3	4	2	2	4	5	5	5	5	2	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	3	4	4	3	3	4	1	2	2	2	2	2	2	2	2	2	2	2	2	1	5	5	5	2	2	 	 	 	1	63	1	1	2	4	21	 	 	 	1	 	0	0	0	3	1	63	 	 	 	6210	2000	 	 	 	0	 	 	 	2	4000	 	 	 	2	1.10803985595703	59	0	0	0	3	1	58	 	 	 	6210	2000	 	 	 	 	 	 	 	0	0	0	0
2768	5518	2008	1	4	4	4	2	2	1	1	2	3	1	2	2	1	2	 	1	2	2	1	1	2	1	2	1	1	1	4	4	4	4	4	3	4	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	4	 	 	 	2	2	2	2	3	2	1	3	2	2	2	2	2	2	2	2	2	1	1	1	5	5	5	2	2	 	 	 	2	51	1	3	6	4	21	 	 	 	2	 	0	0	0	5	 	 	 	 	4	 	 	 	 	 	0	 	 	 	4	14000	 	 	 	2	.554019927978516	54	8	2	0	3	1	58	 	 	 	6210	14000	 	 	 	 	 	 	 	5	1	0	0
2769	5519	2008	1	4	3	2	2	2	2	2	2	2	2	1	2	1	2	 	3	2	2	2	3	1	2	2	2	1	2	4	2	3	3	3	3	5	 	 	 	 	 	7	2	2	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	2	2	1	 	1	2	2	2	1	1	 	1	2	2	4	4	 	 	 	4	3	4	2	2	3	1	4	1	1	2	2	2	2	2	2	2	2	2	2	5	5	5	2	2	 	 	 	2	42	1	1	3	4	21	 	 	 	4	 	2	1	0	3	1	48	 	 	 	6210	1000	 	 	 	0	 	 	 	3	2000	 	 	 	1	1.10803985595703	44	8	2	0	3	1	58	 	 	 	6210	1000	 	 	 	 	 	 	 	0	0	0	0
2770	5520	2008	1	4	3	4	2	2	1	1	2	2	2	2	2	2	1	 	2	2	3	3	2	4	3	5	4	2	2	4	5	5	5	5	1	5	 	 	 	 	 	5	2	1	1	2	2	2	 	2	2	2	2	2	2	 	2	2	2	2	2	2	2	2	2	 	2	2	2	1	1	1	 	2	2	2	2	2	2	 	2	2	2	3	3	 	 	 	3	3	3	6	7	6	1	4	1	1	2	2	2	2	2	2	2	2	1	2	5	5	5	2	2	 	 	 	1	48	1	1	2	4	21	 	 	 	2	 	11	3	0	3	1	48	 	 	 	6210	3200	 	 	 	0	 	 	 	1	8000	 	 	 	2	2.21607971191406	47	11	3	0	3	1	56	 	 	 	9162	4800	 	 	 	 	 	 	 	0	0	0	0
